Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
263	2023-10-19 21:31:48	9	2023-10-20 09:42:48	9	Midday	121.892	28.087	-6.00
264	2023-10-20 09:42:48	9	2023-10-20 21:45:48	9	Midnight	120.119	37.461	-6.00
265	2023-10-20 21:45:48	9	2023-10-21 09:41:48	9	Midday	120.223	37.287	-6.00
266	2023-10-21 09:41:48	9	2023-10-21 21:30:48	9	Midnight	122.077	26.620	-6.00
267	2023-10-21 21:30:48	9	2023-10-22 09:41:48	9	Midday	122.057	26.024	-6.00
268	2023-10-22 09:41:48	9	2023-10-22 21:35:48	9	Midnight	121.413	29.008	-6.00
269	2023-10-22 21:35:48	9	2023-10-23 09:42:48	9	Midday	121.269	27.756	-6.00
270	2023-10-23 09:42:48	9	2023-10-23 21:32:48	9	Midnight	121.626	25.442	-6.00
271	2023-10-23 21:32:48	9	2023-10-24 09:49:48	9	Midday	120.734	20.415	-6.00
272	2023-10-24 09:49:48	9	2023-10-24 21:35:48	9	Midnight	120.342	22.086	-6.00
273	2023-10-24 21:35:48	9	2023-10-25 09:46:48	9	Midday	120.701	23.529	-6.00
274	2023-10-25 09:46:48	9	2023-10-25 21:34:48	9	Midnight	120.811	22.631	-6.00
275	2023-10-25 21:34:48	9	2023-10-26 09:48:48	9	Midday	120.547	21.016	-6.00
276	2023-10-26 09:48:48	9	2023-10-26 21:34:48	9	Midnight	120.534	20.774	-6.00
277	2023-10-26 21:34:48	9	2023-10-27 09:40:48	9	Midday	121.521	25.055	-6.00
278	2023-10-27 09:40:48	9	2023-10-27 21:34:48	9	Midnight	121.509	24.754	-6.00
